currency,financial_statement_item,fs_item_description,consunit,cu_name,plant,plant_name,outlet,outlet_name,py,lfc,fc,plan,ytd_pm,ytd,ytd_plan,ytd_py,period,period_plan,period_py,period_1,period_2,period_3,period_4,period_5,period_6,period_7,period_8,period_9,period_10,period_11,period_12,division,bu,new_outlet,new_outlet_name
LC,301000000,Net income before non-controlling interests,698,VT Korea,483,ICH Icheon NPF,781,PL ENC,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,301000000,Net income before non-controlling interests,698,VT Korea,483,ICH Icheon NPF,7110,CGF,-56940.405,-8993.332,-8993.332,0.0,67549.498,67549.498,1262.637,604117.097,0,169.783,60415.036,0,-119320.07,-72014.596,34790.783,32113.747,-95242.032,73947.785,77939.109,135334.772,0,0,0,VT,VT,7110,CGF
LC,301000000,Net income before non-controlling interests,698,VT Korea,483,ICH Icheon NPF,7210,DIV P C,0,-3909.871,-3909.871,-3304.817,182991.523,182991.523,-3304.817,0,0,0,0,0,122304.193,64028.382,65275.861,27704.748,-88467.56,-137015.333,72248.52,56912.712,0,0,0,P,Div,7210,DIV P C
LC,301000000,Net income before non-controlling interests,698,VT Korea,483,ICH Icheon NPF,7220,DIV E C,12370349.131,-1890392.821,-1890392.821,-12818.136,-1376041.921,-1376041.921,-12818.136,6845362.793,0,0,184159.697,0,-1654517.315,79507.002,259954.166,74135.057,-51477.504,-129744.575,-42401.861,88503.109,0,0,0,E,Div,7220,DIV E C
LC,301000000,Net income before non-controlling interests,698,VT Korea,483,ICH Icheon NPF,7221,DIV E Eng.,-368308.503,-1634652.835,3527948.49,8494110.5,-5583523.953,-5583523.953,7104715.628,-629514.5,0,694697.42,174170.205,0,-302175.012,-205361.795,341681.226,-1107099.88,-1622691.207,-739685.766,-1047416.492,-900775.027,0,0,0,E,Div,7221,DIV E Eng.
LC,301000000,Net income before non-controlling interests,698,VT Korea,483,ICH Icheon NPF,7321,PL DAC,29454.035,926360.164,-1318824.343,-1045960.121,646872.949,646872.949,-963160.112,593521.817,0,-165879.996,76839.378,0,-89001.114,-24442.006,212465.217,-20970.408,-42754.132,-25981.017,767521.028,-129964.619,0,0,0,P,AC,7321,PL DAC
LC,301000000,Net income before non-controlling interests,698,VT Korea,483,ICH Icheon NPF,7511,PL EES,0,4535.126,-812875.669,45700.536,42884.173,42884.173,37682.233,0,0,4009.159,0,0,-12209.61,-28490.244,4032.796,13440.914,-10373.27,16259.406,31987.587,28236.594,0,0,0,P,SC,7511,PL EES
LC,301000000,Net income before non-controlling interests,698,VT Korea,483,ICH Icheon NPF,7521,PL MES,0,61206.524,-649541.362,44217.917,86109.304,86109.304,32225.878,0,0,4667.021,0,0,27399.281,-995.866,6203.025,10243.57,-5157.458,-3356.54,21793.129,29980.163,0,0,0,P,SC,7521,PL MES
LC,301000000,Net income before non-controlling interests,698,VT Korea,483,ICH Icheon NPF,7721,PL HVD,0,1413850.144,-5594152.273,244274.106,-6418023.298,-6418023.298,-167246.21,0,0,-349522.488,0,0,398516.063,1365341.37,148424.903,-927013.586,13743.744,-6761927.978,-1015501.79,360393.976,0,0,0,E,DS,7721,PL HVD
LC,301000000,Net income before non-controlling interests,698,VT Korea,483,ICH Icheon NPF,7811,PL ENC,-1725749.593,-1075080.867,5114166.728,2289888.149,3228151.34,3228151.34,-2986719.824,-830154.932,0,1065734.003,30884.967,0,1028222.071,1812717.471,1925715.836,-888824.915,510584.54,-111055.88,-66343.863,-982863.92,0,0,0,E,CT,7811,PL ENC
LC,301000000,Net income before non-controlling interests,698,VT Korea,483,ICH Icheon NPF,7821,PL DTC,73245.835,-1530286.022,-2758524.829,491108.609,-1471098.706,-1471098.706,-298156.68,1475960.736,0,99352.145,191082.956,0,-1095987.839,-123399.253,252617.754,-23762.5,-123305.059,-79704.154,-155910.566,-121647.089,0,0,0,E,CT,7821,PL DTC
LC,301000000,Net income before non-controlling interests,698,VT Korea,483,ICH Icheon NPF,7831,PL VBC,0,317393.937,-2790070.298,56700.282,-955001.05,-955001.05,-1291829.51,0,0,473503.086,0,0,-270211.13,-118379.021,-424282.776,-18455.476,17883.747,-79925.784,-51299.391,-10331.219,0,0,0,E,CT,7831,PL VBC
LC,301000000,Net income before non-controlling interests,698,VT Korea,483,ICH Icheon NPF,7841,PL CEC,-140892.918,3013873.764,412635.945,-323692.233,1580335.26,1580335.26,-270279.05,-67775.159,0,-26657.092,2521.496,0,-45442.588,-31782.721,-35354.336,345299.435,339547.372,306650.646,369719.471,331697.981,0,0,0,E,CT,7841,PL CEC
LC,301000000,Net income before non-controlling interests,698,VT Korea,483,ICH Icheon NPF,7851,PL MTC,355316.029,5544361.162,1856839.744,448704.552,3851468.401,3851468.401,-1412016.765,-4034681.227,0,90186.656,2652764.352,0,1583630.283,605488.451,211430.888,-635280.487,-1231454.246,3702193.232,118848.609,-503388.329,0,0,0,E,CT,7851,PL MTC
