currency,financial_statement_item,fs_item_description,consunit,cu_name,plant,plant_name,outlet,outlet_name,py,lfc,fc,plan,ytd_pm,ytd,ytd_plan,ytd_py,period,period_plan,period_py,ytd_0,ytd_1,ytd_2,ytd_3,ytd_4,ytd_5,ytd_6,ytd_7,ytd_8,ytd_9,ytd_10,ytd_11,ytd_12,division,bu,new_outlet,new_outlet_name
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,7721,PL HVD,0,1488584.289,-5515374.627,244729.206,-5771479.154,-5771479.154,-131828.145,0,0,-354393.415,0,72763.543,72763.543,437528.992,1807113.478,2177246.927,1020030.427,1053954.976,-5644431.23,-6636162.053,-5771479.154,-5771479.154,-5771479.154,-5771479.154,E,DS,7721,PL HVD
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,7811,PL ENC,1899370.139,-721906.568,5478393.934,2888846.892,4616973.873,4616973.873,-2352798.116,1707400.548,0,1060863.076,60538.494,885833.429,885833.429,2526927.568,4244920.249,6304014.126,5313421.097,5806194.138,5623849.694,5570969.65,4616973.873,4616973.873,4616973.873,4616973.873,E,CT,7811,PL ENC
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,7821,PL DTC,2410662.759,-1074481.195,-2289798.571,571915.167,-1144477.517,-1144477.517,-182387.157,2528017.019,0,94481.218,-590627.098,363427.085,363427.085,-773723.261,-897838.072,-632626.486,-672425.26,-804455.09,-882144.9,-1039955.105,-1144477.517,-1144477.517,-1144477.517,-1144477.517,E,CT,7821,PL DTC
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,7831,PL VBC,0,346439.837,-2758007.093,56700.282,-921318.656,-921318.656,-1291829.51,0,0,473503.086,0,0,0,-246194.435,-354064.151,-733110.449,-760669.155,-783784.172,-870433.176,-922592.162,-921318.656,-921318.656,-921318.656,-921318.656,E,CT,7831,PL VBC
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,7841,PL CEC,155067.579,3036670.121,434010.07,-320205.681,1606050.442,1606050.442,-231829.533,139394.879,0,-31528.019,4942.455,72763.543,72763.543,-20769.159,-52207.788,-91639.146,255952.041,590826.201,897609.052,1266877.9,1606050.442,1606050.442,1606050.442,1606050.442,E,CT,7841,PL CEC
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,7851,PL MTC,2335281.508,5632882.407,1946804.899,442000.438,5184970.006,5184970.006,-1383757.914,-3109333.218,0,85315.729,2177810.777,2052729.022,2052729.022,2653275.644,3446893.45,3826705.13,2193374.714,1893059.89,5507343.366,5514864.186,5184970.006,5184970.006,5184970.006,5184970.006,E,CT,7851,PL MTC
LC,100000000,Total assets,698,VT Korea,483,ICH Icheon NPF,9999,Non-Operational,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VT,VT,9999,Non-Operational
LC,120000000,Non-current assets,698,VT Korea,9,none,9999,Non-Operational,9645278.721,10070935.232,10070935.232,23905891.758,9645278.721,9645278.721,23639567.957,12656299.918,0,1115798.958,0.0,9645278.721,9645278.721,9645278.721,9645278.721,11690348.501,11107311.241,10297203.111,10165997.861,9891214.131,9645278.721,9645278.721,9645278.721,9645278.721,VT,VT,9999,Non-Operational
LC,120000000,Non-current assets,698,VT Korea,219,Sejong,7521,PL MES,2006400.0,1337600.0,1337600.0,1337600.005,1504800.0,1504800.0,1449066.67,2117866.667,0,-55733.333,-55733.333,2006400.0,2006400.0,1894933.333,1839200.0,1783466.667,1727733.333,1672000.0,1616266.667,1560533.333,1504800.0,1504800.0,1504800.0,1504800.0,P,SC,7521,PL MES
LC,120000000,Non-current assets,698,VT Korea,242,ICH Icheon,732,PL DAC,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,120000000,Non-current assets,698,VT Korea,242,ICH Icheon,781,PL ENC,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LC,120000000,Non-current assets,698,VT Korea,242,ICH Icheon,7311,PL EAC,1588507.628,1296430.985,1294214.695,2555750.004,1142003.389,1142003.389,2507654.241,1806707.956,0,-7778.032,-671.431,934985.325,934985.325,1027194.4,1019619.026,1015431.822,1059750.446,1052995.094,1091747.192,1086490.642,1142003.389,1142003.389,1142003.389,1142003.389,P,AC,7311,PL EAC
LC,120000000,Non-current assets,698,VT Korea,242,ICH Icheon,7411,PL HYD,806546.823,961168.078,956264.754,792980.04,922443.521,922443.521,803880.941,504459.773,0,-3585.002,7987.295,688912.794,688912.794,718776.866,717906.375,721905.993,789309.501,787730.976,843495.837,842740.013,922443.521,922443.521,922443.521,922443.521,P,HT,7411,PL HYD
LC,120000000,Non-current assets,698,VT Korea,242,ICH Icheon,7431,PL CM CCN,13640747.005,11949623.25,11926333.209,13254664.662,12305408.043,12305408.043,13795675.732,12584898.647,0,-260122.035,-256079.665,14076428.531,14076428.531,12953806.03,12702769.587,12412644.427,12522769.07,12227019.65,12322659.714,12070071.936,12305408.043,12305408.043,12305408.043,12305408.043,P,HT,7431,PL CM CCN
LC,120000000,Non-current assets,698,VT Korea,242,ICH Icheon,7432,PL CM CVS,3303311.085,3622815.426,3612583.488,2776849.855,3718995.449,3718995.449,2940604.087,3364459.187,0,-77991.616,-100339.856,3229245.238,3229245.238,3818381.646,3783309.771,3686099.388,3752168.699,3654280.754,3706865.719,3627262.881,3718995.449,3718995.449,3718995.449,3718995.449,P,HT,7432,PL CM CVS
LC,120000000,Non-current assets,698,VT Korea,242,ICH Icheon,7436,PL CM PSS,18068635.241,12368798.559,12143462.885,14572145.59,12178946.493,12178946.493,14991022.964,17054110.696,0,-197611.187,-248143.723,15598320.941,15598320.941,15581703.625,15295146.244,15003891.128,14820175.053,14511980.933,14713397.515,14095790.562,12178946.493,12178946.493,12178946.493,12178946.493,P,HT,7436,PL CM PSS
LC,120000000,Non-current assets,698,VT Korea,242,ICH Icheon,7521,PL MES,1583108.669,1639724.812,1634321.148,1910066.948,1613214.337,1613214.337,1951345.372,1731396.671,0,-18587.212,-4385.846,1474188.293,1474188.293,1566139.473,1553169.903,1512756.938,1563812.693,1515434.846,1565966.861,1544271.915,1613214.337,1613214.337,1613214.337,1613214.337,P,SC,7521,PL MES
LC,120000000,Non-current assets,698,VT Korea,242,ICH Icheon,7611,PL AMT DIV P,-2142.799,0.0,0.0,0,0.0,0.0,0,0.0,0,0,0.0,-2142.799,-2142.799,-2142.799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
LC,120000000,Non-current assets,698,VT Korea,242,ICH Icheon,7721,PL HVD,11449600.437,53259292.288,51691883.153,39431646.673,24834409.507,24834409.507,39016975.579,11449600.437,0,-454798.953,11449600.437,12534447.457,12534447.457,22256183.774,22258599.214,22378579.309,23095068.268,23263373.31,23734129.583,24420759.184,24834409.507,24834409.507,24834409.507,24834409.507,E,DS,7721,PL HVD
LC,120000000,Non-current assets,698,VT Korea,242,ICH Icheon,7811,PL ENC,30504927.318,29032726.878,29006566.429,36628924.384,28351459.476,28351459.476,36895765.924,27315053.188,0,400158.409,88816.18,40714269.385,40714269.385,29021190.147,27932409.456,27725121.587,27990213.956,27397129.899,27770434.407,27565119.145,28351459.476,28351459.476,28351459.476,28351459.476,E,CT,7811,PL ENC
LC,120000000,Non-current assets,698,VT Korea,242,ICH Icheon,7821,PL DTC,29512377.088,24469099.226,24437994.127,39650293.408,25873750.181,25873750.181,40801616.216,29930293.188,0,-116877.876,-503841.823,28854497.971,28854497.971,28166857.703,27732671.828,27135476.174,27007414.856,26462445.202,26276232.523,25900032.977,25873750.181,25873750.181,25873750.181,25873750.181,E,CT,7821,PL DTC
LC,120000000,Non-current assets,698,VT Korea,242,ICH Icheon,7831,PL VBC,0,1342388.379,1358567.972,35867.785,329737.585,329737.585,37875.113,0,0,-652.17,0,161202.17,161202.17,127951.88,127807.096,128785.422,141256.014,140996.66,239425.051,266770.103,329737.585,329737.585,329737.585,329737.585,E,CT,7831,PL VBC
